model,vocab_size,edited_vocab,epochs,batch_size,train_time_sec,train_acc_final,val_acc_final,test_acc,test_loss
dense,5000,False,10,100,69.45,0.9113441705703735,0.8818954229354858,0.8858333230018616,0.33796533942222595
cnn1d,5000,False,10,100,334.03,0.9892260432243347,0.8900061249732971,0.8955555558204651,0.6217268109321594
simple_rnn,5000,False,10,100,298.63,0.2642769515514374,0.2719293236732483,0.2724444568157196,1.3830684423446655
lstm,5000,False,10,100,959.37,0.9088203310966492,0.8856174945831299,0.8897777795791626,0.3298543691635132
bilstm,5000,False,10,100,2304.47,0.9516303539276123,0.8888394832611084,0.8933333158493042,0.3768629729747772
dense,5000,True,10,100,80.35,0.909844160079956,0.8946725130081177,0.9001666903495789,0.2952650487422943
cnn1d,5000,True,10,100,349.89,0.9895474910736084,0.8806732892990112,0.8855000138282776,0.6917617917060852
simple_rnn,5000,True,10,100,319.51,0.581185519695282,0.681239902973175,0.6752777695655823,0.898696780204773
lstm,5000,True,10,100,1052.4,0.24924106895923615,0.24998611211776733,0.25,1.3862313032150269
bilstm,5000,True,10,100,3252.36,0.9540232419967651,0.8832842707633972,0.8873888850212097,0.39641469717025757
dense,10000,False,10,100,83.55,0.9287015199661255,0.8986167311668396,0.909166693687439,0.2805660665035248
cnn1d,10000,False,10,100,344.52,0.9930713176727295,0.8894506096839905,0.8958333134651184,0.6762400269508362
simple_rnn,10000,False,10,100,397.02,0.8525101542472839,0.7901227474212646,0.7935000061988831,0.6483555436134338
lstm,10000,False,10,100,1041.05,0.9348563551902771,0.8908949494361877,0.8972777724266052,0.3263787031173706
bilstm,10000,False,10,100,3754.75,0.9698210954666138,0.8861174583435059,0.8928889036178589,0.4518967270851135
dense,10000,True,10,100,99.69,0.9245824217796326,0.8765068650245667,0.886888861656189,0.3401566445827484
cnn1d,10000,True,10,100,515.71,0.9934403896331787,0.8853952288627625,0.8919444680213928,0.6947685480117798
simple_rnn,10000,True,10,100,633.12,0.7470564842224121,0.66357421875,0.6644444465637207,0.8891878128051758
lstm,10000,True,10,100,1359.18,0.25241968035697937,0.25043052434921265,0.2502777874469757,1.3862015008926392
bilstm,10000,True,10,100,3491.3,0.9736663699150085,0.8840064406394958,0.8900555372238159,0.4919174909591675
dense,20000,False,10,100,132.5,0.9414398074150085,0.894283652305603,0.9004444479942322,0.3130505084991455
cnn1d,20000,False,10,100,539.92,0.994154691696167,0.8888950347900391,0.8983888626098633,0.7146943807601929
simple_rnn,20000,False,10,100,515.47,0.2538839876651764,0.27654018998146057,0.2746666669845581,1.3827002048492432
lstm,20000,False,10,100,1229.16,0.9199633598327637,0.8866729736328125,0.8851110935211182,0.39344361424446106
bilstm,20000,False,10,100,3004.58,0.9815950393676758,0.8852285742759705,0.8897777795791626,0.5201257467269897
dense,20000,True,10,100,113.67,0.938630223274231,0.8948391675949097,0.8997777700424194,0.30185195803642273
cnn1d,20000,True,10,100,369.6,0.9939999580383301,0.8841175436973572,0.8964444398880005,0.7736487984657288
simple_rnn,20000,True,10,100,465.27,0.49313682317733765,0.4849174916744232,0.4912777841091156,1.223940372467041
lstm,20000,True,10,100,1121.83,0.2485029548406601,0.2504860758781433,0.2502777874469757,1.386263370513916
bilstm,20000,True,10,100,6078.82,0.9843569397926331,0.8838397860527039,0.8910555839538574,0.5483615398406982
